user_id,signup_date,lessons_completed,weekly_sessions,churn_probability,churned
1,2025-02-18,6,2,0.1,0
2,2025-05-09,3,3,0.25,1
3,2025-02-05,5,0,0.5,0
4,2025-01-01,4,0,0.6,1
5,2025-01-27,3,4,0.1,0
6,2025-02-07,3,2,0.3999999999999999,1
7,2025-01-26,2,3,0.3500000000000001,0
8,2025-04-01,3,4,0.1,0
9,2025-04-05,4,0,0.6,1
10,2025-01-13,1,3,0.45000000000000007,0
11,2025-04-13,4,5,0.1,0
12,2025-05-21,5,0,0.5,1
13,2025-04-04,3,1,0.5499999999999999,0
14,2025-01-24,3,0,0.7,1
15,2025-06-14,4,2,0.30000000000000004,0
16,2025-05-05,1,2,0.6,1
17,2025-03-18,4,4,0.1,0
18,2025-05-11,2,1,0.65,0
19,2025-02-23,5,1,0.35,1
20,2025-06-15,4,2,0.30000000000000004,0
21,2025-01-23,3,3,0.25,0
22,2025-03-31,7,1,0.1499999999999999,0
23,2025-01-15,4,1,0.44999999999999996,0
24,2025-03-18,1,0,0.9,1
25,2025-06-07,4,0,0.6,1
26,2025-04-19,4,2,0.30000000000000004,0
27,2025-02-19,3,2,0.3999999999999999,0
28,2025-04-29,3,3,0.25,1
29,2025-02-03,4,2,0.30000000000000004,0
30,2025-05-30,3,3,0.25,0
31,2025-04-01,5,2,0.19999999999999996,0
32,2025-04-29,10,3,0.1,0
33,2025-02-14,2,3,0.3500000000000001,1
34,2025-02-02,2,3,0.3500000000000001,1
35,2025-02-28,4,2,0.30000000000000004,0
36,2025-06-18,3,3,0.25,0
37,2025-02-17,4,0,0.6,1
38,2025-06-19,5,1,0.35,0
39,2025-01-09,5,0,0.5,0
40,2025-05-02,3,0,0.7,1
41,2025-04-04,3,2,0.3999999999999999,0
42,2025-05-31,2,3,0.3500000000000001,0
43,2025-04-26,3,1,0.5499999999999999,0
44,2025-02-08,3,2,0.3999999999999999,0
45,2025-02-26,7,2,0.1,0
46,2025-05-06,1,2,0.6,1
47,2025-06-12,5,2,0.19999999999999996,1
48,2025-06-06,3,2,0.3999999999999999,1
49,2025-01-19,4,2,0.30000000000000004,0
50,2025-06-18,5,3,0.1,1
51,2025-01-01,6,0,0.3999999999999999,0
52,2025-06-13,5,3,0.1,0
53,2025-04-29,3,3,0.25,1
54,2025-05-23,5,6,0.1,0
55,2025-04-21,6,5,0.1,0
56,2025-06-23,4,1,0.44999999999999996,0
57,2025-05-03,4,2,0.30000000000000004,0
58,2025-04-02,1,2,0.6,1
59,2025-04-01,6,0,0.3999999999999999,0
60,2025-05-25,5,2,0.19999999999999996,1
61,2025-02-09,6,3,0.1,0
62,2025-06-23,3,2,0.3999999999999999,0
63,2025-02-21,3,3,0.25,0
64,2025-01-19,6,2,0.1,1
65,2025-04-05,1,3,0.45000000000000007,0
66,2025-03-04,6,0,0.3999999999999999,1
67,2025-03-02,6,1,0.2499999999999999,1
68,2025-02-02,3,3,0.25,0
69,2025-05-01,6,5,0.1,0
70,2025-06-13,2,2,0.5,1
71,2025-06-25,4,2,0.30000000000000004,0
72,2025-04-12,5,2,0.19999999999999996,0
73,2025-02-12,1,0,0.9,1
74,2025-05-25,3,3,0.25,0
75,2025-06-21,4,4,0.1,0
76,2025-05-16,5,1,0.35,0
77,2025-04-20,7,1,0.1499999999999999,0
78,2025-05-31,2,0,0.8,0
79,2025-04-15,5,4,0.1,0
80,2025-02-18,4,0,0.6,0
81,2025-05-15,5,5,0.1,0
