user_id,signup_date,lessons_completed,weekly_sessions,churn_probability,churned
1,2025-05-28,4,2,0.30000000000000004,0
2,2025-05-20,3,2,0.3999999999999999,0
3,2025-04-20,3,4,0.1,0
4,2025-05-20,5,0,0.5,0
5,2025-03-18,3,2,0.3999999999999999,0
6,2025-04-03,1,0,0.9,1
7,2025-05-06,4,3,0.15000000000000002,0
8,2025-05-09,4,2,0.30000000000000004,1
9,2025-02-17,2,1,0.65,1
10,2025-05-21,3,1,0.5499999999999999,0
11,2025-06-21,2,3,0.3500000000000001,0
12,2025-05-03,4,3,0.15000000000000002,0
13,2025-05-05,3,0,0.7,1
14,2025-01-25,5,0,0.5,1
15,2025-04-21,4,2,0.30000000000000004,1
16,2025-01-16,4,0,0.6,1
17,2025-04-17,4,6,0.1,0
18,2025-04-18,6,1,0.2499999999999999,1
19,2025-03-29,3,1,0.5499999999999999,0
20,2025-01-11,5,0,0.5,1
21,2025-01-09,6,1,0.2499999999999999,1
22,2025-05-03,4,1,0.44999999999999996,1
23,2025-04-15,4,3,0.15000000000000002,0
24,2025-03-17,2,2,0.5,0
25,2025-04-11,4,4,0.1,0
26,2025-03-31,6,3,0.1,0
27,2025-03-02,3,1,0.5499999999999999,1
28,2025-06-23,4,4,0.1,0
29,2025-02-19,3,1,0.5499999999999999,0
30,2025-06-12,3,0,0.7,1
31,2025-05-28,1,3,0.45000000000000007,1
32,2025-06-03,4,0,0.6,1
33,2025-03-25,2,1,0.65,1
34,2025-06-09,7,0,0.29999999999999993,0
35,2025-04-10,8,3,0.1,0
36,2025-03-15,4,2,0.30000000000000004,0
37,2025-05-31,5,0,0.5,1
38,2025-01-09,1,2,0.6,0
39,2025-05-12,6,2,0.1,0
40,2025-04-16,2,4,0.19999999999999996,0
41,2025-03-14,6,2,0.1,0
42,2025-04-24,2,1,0.65,0
43,2025-02-04,5,1,0.35,0
44,2025-04-13,7,4,0.1,1
45,2025-06-25,7,0,0.29999999999999993,0
46,2025-03-20,6,3,0.1,1
47,2025-04-22,1,3,0.45000000000000007,1
48,2025-05-19,1,5,0.15000000000000002,0
49,2025-06-29,2,3,0.3500000000000001,1
50,2025-06-27,2,1,0.65,1
51,2025-03-18,4,1,0.44999999999999996,1
52,2025-05-14,6,3,0.1,0
53,2025-04-19,3,4,0.1,0
54,2025-01-13,3,0,0.7,1
55,2025-03-27,6,2,0.1,1
56,2025-05-27,5,2,0.19999999999999996,0
57,2025-01-08,3,3,0.25,0
58,2025-02-17,0,1,0.85,1
59,2025-04-20,1,0,0.9,1
60,2025-02-28,6,4,0.1,0
61,2025-01-18,5,2,0.19999999999999996,0
62,2025-01-27,6,2,0.1,0
63,2025-03-30,5,0,0.5,0
64,2025-05-07,2,3,0.3500000000000001,0
65,2025-06-18,5,2,0.19999999999999996,0
66,2025-04-01,4,2,0.30000000000000004,1
67,2025-05-25,3,1,0.5499999999999999,1
68,2025-06-25,6,1,0.2499999999999999,0
69,2025-05-19,4,1,0.44999999999999996,0
70,2025-02-28,9,2,0.1,0
71,2025-03-17,2,2,0.5,1
72,2025-01-27,6,3,0.1,0
73,2025-04-13,3,0,0.7,0
74,2025-03-24,3,4,0.1,0
75,2025-03-28,5,3,0.1,0
76,2025-06-18,4,1,0.44999999999999996,0
77,2025-03-16,4,3,0.15000000000000002,0
78,2025-01-03,5,2,0.19999999999999996,0
79,2025-05-23,1,3,0.45000000000000007,0
80,2025-04-05,4,2,0.30000000000000004,0
81,2025-05-30,3,3,0.25,1
82,2025-05-20,4,1,0.44999999999999996,0
83,2025-06-09,4,0,0.6,1
84,2025-03-27,3,0,0.7,0
85,2025-03-02,7,4,0.1,0
86,2025-01-11,4,2,0.30000000000000004,0
87,2025-03-15,7,0,0.29999999999999993,0
88,2025-04-16,4,1,0.44999999999999996,1
89,2025-04-21,7,2,0.1,0
90,2025-05-28,4,1,0.44999999999999996,0
91,2025-06-25,5,1,0.35,0
92,2025-02-02,1,1,0.75,1
93,2025-01-12,5,3,0.1,0
94,2025-06-17,2,2,0.5,0
95,2025-06-29,4,1,0.44999999999999996,0
96,2025-05-28,3,0,0.7,0
97,2025-06-15,5,3,0.1,0
98,2025-02-18,5,0,0.5,0
99,2025-06-18,1,3,0.45000000000000007,0
100,2025-05-23,2,2,0.5,1
101,2025-06-06,4,1,0.44999999999999996,0
102,2025-03-19,4,5,0.1,0
103,2025-02-03,4,1,0.44999999999999996,0
104,2025-05-09,6,3,0.1,0
105,2025-04-21,5,2,0.19999999999999996,0
106,2025-06-23,5,4,0.1,0
107,2025-05-11,7,1,0.1499999999999999,0
108,2025-03-08,3,1,0.5499999999999999,1
109,2025-01-13,4,2,0.30000000000000004,0
110,2025-05-29,6,2,0.1,0
